image,true_label,raw_score,rule_boost,final_score,predicted_label,boosts,brightness,contrast,compression_diff,saturation,laplacian_var,edge_density,sobel_mean,fft_hf_ratio,moire_score,local_fft_hf,h_freq_peak,v_freq_peak,diag_freq_peak,banding_score,glare_ratio,glare_patch_size,rect_contour_score,perspective_score,bezel_score,paper_texture,blockiness
real 1.jpeg,real,0.4143498071740948,0.0,0.4143498071740948,0,{},7.71491870880127,5.903422678679668,0.043367643356323246,10.190528583526612,3.2230922433765956,0.0018616676330566408,2.9393112203784244,0.7350218643482717,1.198536850183718,111.48009560659584,3466.2333342546126,2862.639335837786,1218.5176574676975,0.0002983293556085919,0.006642341613769531,0.0013523101806640625,0.6175438596491228,0.0,0.3723562628317641,3.163088978298094,3.354269027709961
real 2.jpeg,real,0.4307417618127822,0.0,0.4307417618127822,0,{},7.760980129241943,6.4943966643812665,0.04786501884460449,11.5373028755188,6.3235698908915765,0.003272628784179688,3.600337528898141,0.7598914956168034,1.9442752301976864,110.44879333301405,3374.0594964498505,2571.2121888677816,1104.3742748385084,0.000310077519379845,0.004630088806152344,0.0009059906005859375,0.5534188034188035,0.0,0.3335420944541399,6.116622922454539,4.2431640625
fake 1.jpeg,screen,0.9754694901205951,0.0,0.9754694901205951,1,{},8.068874645233155,7.103707327677384,0.0490743350982666,10.87093029022217,7.763186923479134,0.004415988922119141,4.064087371327651,0.7416672827188664,2.310979661108158,124.98869020773519,2976.140251993012,3007.0188593743624,1406.7362592947156,0.0002901915264074289,0.017591476440429688,0.0024118423461914062,0.28834033613445376,0.0,0.8995482546155054,7.420365448934894,4.4884233474731445
fake 2.jpeg,screen,0.9764702850362195,0.0,0.9764702850362195,1,{},8.639518642425537,7.510185057969579,0.05529590606689453,11.516671562194825,12.966437839629272,0.005639266967773438,4.912669879630092,0.7652682680157065,2.6931153846669975,125.17732263457599,3084.5338660678394,2670.299856999924,1326.9574076619342,0.0002810567734682406,0.029412269592285156,0.0028839111328125,0.14341637010676156,0.0,0.5845431211468965,12.235225793642181,5.687150001525879
